,filename,tune,own,sensor_set,subject_id,channel_set,instrument
1,/20210407/AndreHappyBirthday.wav,happy_birthday,FALSE,0,0,inversed_endevcos,lab
2,/20210407/AndreBeethoven.wav,beethoven,FALSE,0,0,default,lab
10,/20210407/AndreNobody.wav,nobody,FALSE,0,0,default,lab
11,/20210505/Beethoven.wav,beethoven,FALSE,0,1,default,lab
12,/20210505/HappyBirthday.wav,happy_birthday,FALSE,0,1,default,lab
14,/20210505/Nobody.wav,nobody,FALSE,0,1,default,lab
18,/20210512/Beethoven.wav,beethoven,FALSE,0,2,default,lab
19,/20210512/HappyBirthday.wav,happy_birthday,FALSE,0,2,default,lab
21,/20210512/Nobody.wav,nobody,FALSE,0,2,default,lab
24,/20210512/OwnInstrument/Beethoven-2nd.wav,beethoven,TRUE,0,2,ext_only,own
25,/20210512/OwnInstrument/HappyBirthday-2nd.wav,happy_birthday,TRUE,0,2,ext_only,own
26,/20210512/OwnInstrument/Nobody-2nd.wav,nobody,TRUE,0,2,ext_only,own
27,/20210519/Beethoven.wav,beethoven,FALSE,0,3,default,lab
28,/20210519/HappyBirthday.wav,happy_birthday,FALSE,0,3,default,lab
30,/20210519/Nobody.wav,nobody,FALSE,0,3,default,lab
36,/20210519/OwnInstrument/Beethoven.wav,beethoven,TRUE,0,3,ext_only,own
37,/20210519/OwnInstrument/HappyBirthday.wav,happy_birthday,TRUE,0,3,ext_only,own
38,/20210519/OwnInstrument/Nobody.wav,nobody,TRUE,0,3,ext_only,own
39,/20210526/Beethoven-2-giveUp.wav,beethoven,FALSE,0,1,default,lab
40,/20210526/Beethoven.wav,beethoven,FALSE,0,1,default,lab
41,/20210526/HappyBirthday.wav,happy_birthday,FALSE,0,1,default,lab
43,/20210526/NobodyKnows.wav,nobody,FALSE,0,1,default,lab
47,/20210526/OwnInstrument/Beethoven.wav,beethoven,TRUE,0,1,ext_only,own
48,/20210526/OwnInstrument/HappyBirthday.wav,happy_birthday,TRUE,0,1,ext_only,own
49,/20210526/OwnInstrument/NobodyKnows.wav,nobody,TRUE,0,1,ext_only,own
56,/20211111/1-EG-Lab/Beethoven.wav,beethoven,FALSE,0,4,default,lab
57,/20211111/1-EG-Lab/HappyBirthday.wav,happy_birthday,FALSE,0,4,default,lab
58,/20211111/1-EG-Lab/Nobody.wav,nobody,FALSE,0,4,default,lab
59,/20211111/2-Excerpts/Mahler9-2.wav,mahler9,FALSE,0,4,default,lab
60,/20211111/2-Excerpts/Mahler9.wav,mahler9,FALSE,0,4,default,lab
61,/20211111/2-Excerpts/Mozart.wav,mozart,FALSE,0,4,default,lab
62,/20211111/2-Excerpts/Mussorgsky.wav,mussorgsky,FALSE,0,4,default,lab
63,/20211111/2-Excerpts/Ravel.wav,ravel,FALSE,0,4,default,lab
64,/20211111/2-Excerpts/Rhapsody.wav,rhapsody,FALSE,0,4,default,lab
68,/20211111/4-EG-Own/Beethoven.wav,beethoven,TRUE,0,4,ext_only,own
69,/20211111/4-EG-Own/Excerpts.wav,excerpts,TRUE,0,4,ext_only,own
70,/20211111/4-EG-Own/HappyBirthday.wav,happy_birthday,TRUE,0,4,ext_only,own
71,/20211111/4-EG-Own/Nobody.wav,nobody,TRUE,0,4,ext_only,own
74,/20211111/6-ResonantFingerings/ResonantFingerings.wav,resonant,FALSE,0,4,default,lab
93,/20211116/1-EG-Lab/Beethoven.wav,beethoven,FALSE,0,5,default,lab
94,/20211116/1-EG-Lab/HappyBirthday.wav,happy_birthday,FALSE,0,5,default,lab
95,/20211116/1-EG-Lab/Nobody.wav,nobody,FALSE,0,5,default,lab
96,/20211116/2-Excerpts/Mahler5.wav,mahler5,FALSE,0,5,default,lab
97,/20211116/2-Excerpts/Mahler9.wav,mahler9,FALSE,0,5,default,lab
98,/20211116/2-Excerpts/Mozart.wav,mozart,FALSE,0,5,default,lab
99,/20211116/2-Excerpts/Mussorgsky.wav,mussorgsky,FALSE,0,5,default,lab
100,/20211116/2-Excerpts/Ravel.wav,ravel,FALSE,0,5,default,lab
101,/20211116/2-Excerpts/Rhapsody.wav,rhapsody,FALSE,0,5,default,lab
105,/20211116/4-EG-Own/Beethoven.wav,beethoven,TRUE,0,5,ext_only,own
106,/20211116/4-EG-Own/HappyBirthday.wav,happy_birthday,TRUE,0,5,ext_only,own
107,/20211116/4-EG-Own/Mahler5.wav,mahler5,TRUE,0,5,ext_only,own
108,/20211116/4-EG-Own/Mahler9.wav,mahler9,TRUE,0,5,ext_only,own
109,/20211116/4-EG-Own/Mozart.wav,mozart,TRUE,0,5,ext_only,own
110,/20211116/4-EG-Own/Mussorgsky.wav,mussorgsky,TRUE,0,5,ext_only,own
111,/20211116/4-EG-Own/Nobody.wav,nobody,TRUE,0,5,ext_only,own
